Date,GPR
2011-01-01,79.42
2011-01-02,79.42
2011-01-03,79.42
2011-01-04,79.42
2011-01-05,79.42
2011-01-06,79.42
2011-01-07,79.42
2011-01-08,79.42
2011-01-09,79.42
2011-01-10,79.42
2011-01-11,79.42
2011-01-12,79.42
2011-01-13,79.42
2011-01-14,79.42
2011-01-15,79.42
2011-01-16,79.42
2011-01-17,79.42
2011-01-18,79.42
2011-01-19,79.42
2011-01-20,79.42
2011-01-21,79.42
2011-01-22,79.42
2011-01-23,79.42
2011-01-24,79.42
2011-01-25,79.42
2011-01-26,79.42
2011-01-27,79.42
2011-01-28,79.42
2011-01-29,79.42
2011-01-30,79.42
2011-01-31,79.42
2011-02-01,90.01
2011-02-02,90.01
2011-02-03,90.01
2011-02-04,90.01
2011-02-05,90.01
2011-02-06,90.01
2011-02-07,90.01
2011-02-08,90.01
2011-02-09,90.01
2011-02-10,90.01
2011-02-11,90.01
2011-02-12,90.01
2011-02-13,90.01
2011-02-14,90.01
2011-02-15,90.01
2011-02-16,90.01
2011-02-17,90.01
2011-02-18,90.01
2011-02-19,90.01
2011-02-20,90.01
2011-02-21,90.01
2011-02-22,90.01
2011-02-23,90.01
2011-02-24,90.01
2011-02-25,90.01
2011-02-26,90.01
2011-02-27,90.01
2011-02-28,90.01
2011-03-01,136.89
2011-03-02,136.89
2011-03-03,136.89
2011-03-04,136.89
2011-03-05,136.89
2011-03-06,136.89
2011-03-07,136.89
2011-03-08,136.89
2011-03-09,136.89
2011-03-10,136.89
2011-03-11,136.89
2011-03-12,136.89
2011-03-13,136.89
2011-03-14,136.89
2011-03-15,136.89
2011-03-16,136.89
2011-03-17,136.89
2011-03-18,136.89
2011-03-19,136.89
2011-03-20,136.89
2011-03-21,136.89
2011-03-22,136.89
2011-03-23,136.89
2011-03-24,136.89
2011-03-25,136.89
2011-03-26,136.89
2011-03-27,136.89
2011-03-28,136.89
2011-03-29,136.89
2011-03-30,136.89
2011-03-31,136.89
2011-04-01,91.02
2011-04-02,91.02
2011-04-03,91.02
2011-04-04,91.02
2011-04-05,91.02
2011-04-06,91.02
2011-04-07,91.02
2011-04-08,91.02
2011-04-09,91.02
2011-04-10,91.02
2011-04-11,91.02
2011-04-12,91.02
2011-04-13,91.02
2011-04-14,91.02
2011-04-15,91.02
2011-04-16,91.02
2011-04-17,91.02
2011-04-18,91.02
2011-04-19,91.02
2011-04-20,91.02
2011-04-21,91.02
2011-04-22,91.02
2011-04-23,91.02
2011-04-24,91.02
2011-04-25,91.02
2011-04-26,91.02
2011-04-27,91.02
2011-04-28,91.02
2011-04-29,91.02
2011-04-30,91.02
2011-05-01,105.34
2011-05-02,105.34
2011-05-03,105.34
2011-05-04,105.34
2011-05-05,105.34
2011-05-06,105.34
2011-05-07,105.34
2011-05-08,105.34
2011-05-09,105.34
2011-05-10,105.34
2011-05-11,105.34
2011-05-12,105.34
2011-05-13,105.34
2011-05-14,105.34
