epoch,train_loss,val_loss,loss_ratio,overfitting,is_best,val_improvement_pct
1,3.2281,3.113,0.9643443511663208,None,False,0.0
2,2.789,2.6132,0.9369666547149516,None,True,16.055252168326373
3,2.6025,2.7219,1.0458789625360232,Low,False,12.563443623514287
4,2.4462,3.61,1.475758319025427,Low,False,-15.965306778027621
5,2.3628,3.6808,1.557812764516675,Moderate,False,-18.239640218438808
6,2.32,4.8828,2.104655172413793,High,False,-56.85191133954384
7,2.2662,4.1771,1.843217721295561,Moderate,False,-34.182460648891755
8,2.2324,3.3511,1.5011198709908617,Moderate,False,-7.6485705107613295
9,2.2188,5.558,2.5049576347575266,High,False,-78.54159974301317
10,2.193,4.2779,1.950706794345645,Moderate,False,-37.42049469964664
11,2.1793,4.4167,2.0266599366769142,High,False,-41.87921619017024
12,2.1636,3.1588,1.4599741172120537,Low,False,-1.4712495984580738
13,2.1509,4.2629,1.9819145473987634,Moderate,False,-36.93864439447479
14,2.1426,4.4355,2.0701484178101377,High,False,-42.48313523931899
