feature,mean_abs_shap
Market_State,8.359732030675162e-06
Return_Percentile,3.2390217995172633e-06
Close_VIX,1.9130992054406383e-06
Close_EURUSD,1.7067280475016274e-06
Close_USDJPY,7.976203506985422e-07
Close_Returns,7.737194502187079e-07
MACD_Signal,5.946294930618393e-07
Return_ZScore,5.774081862778674e-07
Distance_From_AllTimeHigh,5.562016339003886e-07
Log_Returns,2.0584238974131337e-07
Volume_Percentile,1.115229823588253e-07
BB_Middle,5.892708433909603e-08
Close_XAUUSD,5.7548865517449484e-08
LogReturn_ZScore,2.012374374846511e-08
BB_Upper,5.2082206786759235e-09
Close_NASDAQ,0.0
Close_SP500,0.0
CPIAUCSL,0.0
Close_RUSSELL2000,0.0
DGS2,0.0
DFII10,0.0
GPR,0.0
UNRATE,0.0
SMA_9,0.0
EMA_21,0.0
DFII5,0.0
EMA_9,0.0
EMA_50,0.0
FEDFUNDS,0.0
PAYEMS,0.0
PCE,0.0
Volume_XAUUSD,0.0
Volume_SP500,0.0
Volume_NASDAQ,0.0
Volume_RUSSELL2000,0.0
MACD_Hist,0.0
MACD,0.0
SMA_200,0.0
RSI_14,0.0
EMA_200,0.0
SMA_50,0.0
SMA_21,0.0
VIX_Lagged,0.0
Close_ZScore,0.0
Price_Percentile,0.0
gold_logret_10d,0.0
Normalized_Close,0.0
Pct_From_AllTimeHigh,0.0
BB_Lower,0.0
BB_Width,0.0
Rolling_Std_20,0.0
Distance_From_AllTimeLow,0.0
Price_to_Peak_Ratio,0.0
Close_Quantile,0.0
LogReturn_Quantile,0.0
Normalized_Volume,0.0
Volume_Quantile,0.0
Vol_Regime,0.0
Volume_ZScore,0.0
Trend_Regime,0.0
Risk_State,0.0
Bull_Bear_Label,0.0
Global_Momentum_Rank,0.0
Price_Bucket,0.0
Volume_Bucket,0.0
Return_Regime,0.0
Volume_Regime,0.0
