Date,signal,position
2023-01-02,-1,-0.9240880505100548
2023-01-03,-1,-0.9392704404080439
2023-01-04,-1,-0.9514163523264352
2023-01-05,0,-0.7611330818611481
2023-01-06,0,-0.6089064654889186
2023-01-07,-1,-0.6871251723911349
2023-01-08,-1,-0.749700137912908
2023-01-09,-1,-0.7997601103303265
2023-01-10,-1,-0.8398080882642611
2023-01-11,-1,-0.8718464706114089
2023-01-12,0,-0.6974771764891271
2023-01-13,-1,-0.7579817411913017
2023-01-14,-1,-0.8063853929530413
2023-01-15,-1,-0.8451083143624332
2023-01-16,-1,-0.8760866514899466
2023-01-17,0,-0.7008693211919573
2023-01-18,0,-0.5606954569535659
2023-01-19,-1,-0.6485563655628528
2023-01-20,-1,-0.7188450924502823
2023-01-21,-1,-0.7750760739602258
2023-01-22,-1,-0.8200608591681806
2023-01-23,-1,-0.8560486873345445
2023-01-24,-1,-0.8848389498676357
2023-01-25,-1,-0.9078711598941085
2023-01-26,0,-0.7262969279152869
2023-01-27,-1,-0.7810375423322296
2023-01-28,-1,-0.8248300338657837
2023-01-29,-1,-0.859864027092627
2023-01-30,-1,-0.8878912216741017
2023-01-31,-1,-0.9103129773392815
2023-02-01,0,-0.7282503818714252
2023-02-02,0,-0.5826003054971401
2023-02-03,0,-0.4660802443977121
2023-02-04,-1,-0.5728641955181697
2023-02-05,-1,-0.6582913564145358
2023-02-06,-1,-0.7266330851316287
2023-02-07,-1,-0.781306468105303
2023-02-08,0,-0.6250451744842425
2023-02-09,0,-0.500036139587394
2023-02-10,-1,-0.6000289116699152
2023-02-11,0,-0.4800231293359322
2023-02-12,0,-0.3840185034687458
2023-02-13,1,-0.10721480277499662
2023-02-14,0,-0.0857718422199973
2023-02-15,1,0.13138252622400215
2023-02-16,0,0.10510602097920173
2023-02-17,0,0.08408481678336138
2023-02-18,0,0.0672678534266891
2023-02-19,0,0.053814282741351284
2023-02-20,0,0.04305142619308103
2023-02-21,0,0.03444114095446482
2023-02-22,0,0.027552912763571857
2023-02-23,1,0.2220423302108575
2023-02-24,0,0.177633864168686
2023-02-25,0,0.1421070913349488
2023-02-26,0,0.11368567306795906
2023-02-27,0,0.09094853845436725
2023-02-28,0,0.0727588307634938
2023-03-01,0,0.05820706461079505
2023-03-02,0,0.046565651688636044
2023-03-03,1,0.23725252135090885
2023-03-04,0,0.18980201708072708
2023-03-05,0,0.15184161366458168
2023-03-06,0,0.12147329093166535
2023-03-07,1,0.2971786327453323
2023-03-08,0,0.23774290619626584
2023-03-09,0,0.1901943249570127
2023-03-10,1,0.35215545996561015
2023-03-11,0,0.2817243679724881
2023-03-12,0,0.2253794943779905
2023-03-13,1,0.38030359550239246
2023-03-14,-1,0.10424287640191399
2023-03-15,1,0.2833943011215312
2023-03-16,-1,0.02671544089722494
2023-03-17,1,0.22137235271777997
2023-03-18,-1,-0.02290211782577603
2023-03-19,-1,-0.21832169426062084
2023-03-20,-1,-0.3746573554084967
2023-03-21,0,-0.29972588432679736
2023-03-22,1,-0.039780707461437886
2023-03-23,0,-0.03182456596915031
2023-03-24,1,0.17454034722467976
2023-03-25,0,0.13963227777974382
2023-03-26,0,0.11170582222379506
2023-03-27,0,0.08936465777903606
2023-03-28,-1,-0.12850827377677115
2023-03-29,-1,-0.3028066190214169
2023-03-30,-1,-0.44224529521713357
2023-03-31,1,-0.15379623617370686
2023-04-01,-1,-0.3230369889389655
2023-04-02,0,-0.2584295911511724
2023-04-03,0,-0.20674367292093795
2023-04-04,0,-0.16539493833675037
2023-04-05,0,-0.1323159506694003
2023-04-06,0,-0.10585276053552024
2023-04-07,-1,-0.2846822084284162
2023-04-08,0,-0.22774576674273295
2023-04-09,0,-0.18219661339418636
2023-04-10,1,0.054242709284650914
2023-04-11,-1,-0.15660583257227928
2023-04-12,0,-0.12528466605782343
2023-04-13,-1,-0.30022773284625875
2023-04-14,0,-0.24018218627700702
2023-04-15,0,-0.19214574902160564
2023-04-16,0,-0.15371659921728453
2023-04-17,-1,-0.32297327937382764
2023-04-18,-1,-0.4583786234990621
2023-04-19,0,-0.3667028987992497
2023-04-20,0,-0.2933623190393998
2023-04-21,0,-0.23468985523151986
2023-04-22,-1,-0.3877518841852159
2023-04-23,0,-0.31020150734817276
2023-04-24,0,-0.2481612058785382
2023-04-25,1,0.0014710352971694374
2023-04-26,0,0.00117682823773555
2023-04-27,-1,-0.19905853740981158
2023-04-28,0,-0.15924682992784928
2023-04-29,0,-0.12739746394227944
2023-04-30,0,-0.10191797115382356
2023-05-01,-1,-0.2815343769230589
2023-05-02,1,-0.025227501538447106
2023-05-03,0,-0.020182001230757685
2023-05-04,0,-0.01614560098460615
2023-05-05,0,-0.01291648078768492
2023-05-06,0,-0.010333184630147936
2023-05-07,0,-0.00826654770411835
2023-05-08,-1,-0.2066132381632947
2023-05-09,-1,-0.3652905905306358
2023-05-10,0,-0.2922324724245086
2023-05-11,1,-0.03378597793960689
2023-05-12,-1,-0.22702878235168553
2023-05-13,0,-0.18162302588134843
2023-05-14,0,-0.14529842070507876
2023-05-15,0,-0.11623873656406301
2023-05-16,0,-0.09299098925125042
2023-05-17,-1,-0.27439279140100037
2023-05-18,0,-0.21951423312080032
2023-05-19,-1,-0.3756113864966403
2023-05-20,-1,-0.5004891091973123
2023-05-21,-1,-0.6003912873578499
2023-05-22,0,-0.4803130298862799
2023-05-23,0,-0.3842504239090239
2023-05-24,-1,-0.5074003391272192
2023-05-25,0,-0.4059202713017753
2023-05-26,0,-0.3247362170414203
2023-05-27,0,-0.25978897363313624
2023-05-28,0,-0.207831178906509
2023-05-29,0,-0.16626494312520723
2023-05-30,0,-0.13301195450016579
2023-05-31,0,-0.10640956360013264
2023-06-01,0,-0.08512765088010611
2023-06-02,1,0.13189787929591512
2023-06-03,0,0.1055183034367321
2023-06-04,0,0.08441464274938569
2023-06-05,0,0.06753171419950856
2023-06-06,-1,-0.14597462864039318
2023-06-07,0,-0.11677970291231454
2023-06-08,-1,-0.2934237623298517
2023-06-09,0,-0.23473900986388135
2023-06-10,0,-0.1877912078911051
2023-06-11,0,-0.15023296631288408
2023-06-12,0,-0.12018637305030727
2023-06-13,0,-0.09614909844024583
2023-06-14,-1,-0.2769192787521967
2023-06-15,1,-0.021535423001757342
2023-06-16,0,-0.017228338401405873
2023-06-17,0,-0.013782670721124698
2023-06-18,0,-0.01102613657689976
2023-06-19,0,-0.008820909261519808
2023-06-20,1,0.19294327259078417
2023-06-21,0,0.15435461807262735
2023-06-22,1,0.3234836944581019
2023-06-23,-1,0.0587869555664815
2023-06-24,0,0.04702956445318521
2023-06-25,0,0.03762365156254817
2023-06-26,0,0.030098921250038536
2023-06-27,0,0.02407913700003083
2023-06-28,0,0.019263309600024665
2023-06-29,0,0.015410647680019733
2023-06-30,-1,-0.18767148185598423
2023-07-01,0,-0.15013718548478738
2023-07-02,0,-0.12010974838782991
2023-07-03,0,-0.09608779871026393
2023-07-04,0,-0.07687023896821116
2023-07-05,0,-0.06149619117456893
2023-07-06,0,-0.04919695293965515
2023-07-07,-1,-0.23935756235172412
2023-07-08,0,-0.1914860498813793
2023-07-09,0,-0.15318883990510346
2023-07-10,0,-0.12255107192408277
2023-07-11,-1,-0.29804085753926624
2023-07-12,0,-0.238432686031413
2023-07-13,1,0.009253851174869598
2023-07-14,0,0.007403080939895679
2023-07-15,0,0.0059224647519165435
2023-07-16,-1,-0.19526202819846677
2023-07-17,-1,-0.3562096225587734
2023-07-18,-1,-0.4849676980470188
2023-07-19,-1,-0.587974158437615
2023-07-20,0,-0.47037932675009203
2023-07-21,-1,-0.5763034614000737
2023-07-22,-1,-0.661042769120059
2023-07-23,-1,-0.7288342152960472
2023-07-24,-1,-0.7830673722368378
2023-07-25,-1,-0.8264538977894702
2023-07-26,-1,-0.8611631182315762
2023-07-27,0,-0.688930494585261
2023-07-28,-1,-0.7511443956682089
2023-07-29,-1,-0.8009155165345672
2023-07-30,-1,-0.8407324132276537
2023-07-31,-1,-0.8725859305821231
2023-08-01,1,-0.49806874446569854
2023-08-02,-1,-0.5984549955725589
2023-08-03,-1,-0.6787639964580472
2023-08-04,0,-0.5430111971664378
2023-08-05,-1,-0.6344089577331502
2023-08-06,-1,-0.7075271661865201
2023-08-07,0,-0.5660217329492161
2023-08-08,1,-0.2528173863593729
2023-08-09,0,-0.20225390908749832
2023-08-10,0,-0.16180312726999868
2023-08-11,0,-0.12944250181599895
2023-08-12,0,-0.10355400145279917
2023-08-13,0,-0.08284320116223934
2023-08-14,0,-0.06627456092979148
2023-08-15,0,-0.053019648743833185
2023-08-16,0,-0.04241571899506655
2023-08-17,1,0.16606742480394676
2023-08-18,-1,-0.0671460601568426
2023-08-19,0,-0.05371684812547409
2023-08-20,0,-0.042973478500379275
2023-08-21,0,-0.034378782800303424
2023-08-22,0,-0.027503026240242742
2023-08-23,0,-0.022002420992194197
2023-08-24,0,-0.01760193679375536
2023-08-25,0,-0.014081549435004288
2023-08-26,0,-0.01126523954800343
2023-08-27,0,-0.009012191638402745
2023-08-28,0,-0.007209753310722196
2023-08-29,0,-0.005767802648577757
2023-08-30,0,-0.004614242118862206
2023-08-31,0,-0.0036913936950897647
2023-09-01,0,-0.0029531149560718117
2023-09-02,-1,-0.20236249196485745
2023-09-03,-1,-0.361889993571886
2023-09-04,-1,-0.48951199485750885
2023-09-05,0,-0.3916095958860071
2023-09-06,0,-0.3132876767088057
2023-09-07,-1,-0.4506301413670446
2023-09-08,-1,-0.5605041130936357
2023-09-09,-1,-0.6484032904749086
2023-09-10,-1,-0.718722632379927
2023-09-11,0,-0.5749781059039416
2023-09-12,1,-0.2599824847231533
2023-09-13,0,-0.20798598777852262
2023-09-14,0,-0.1663887902228181
2023-09-15,-1,-0.3331110321782545
2023-09-16,0,-0.26648882574260363
2023-09-17,0,-0.2131910605940829
2023-09-18,0,-0.17055284847526633
2023-09-19,0,-0.13644227878021306
2023-09-20,-1,-0.3091538230241705
2023-09-21,1,-0.0473230584193364
2023-09-22,-1,-0.23785844673546913
2023-09-23,-1,-0.3902867573883753
2023-09-24,-1,-0.5122294059107002
2023-09-25,0,-0.40978352472856017
2023-09-26,1,-0.12782681978284816
2023-09-27,1,0.09773854417372148
2023-09-28,1,0.2781908353389772
2023-09-29,1,0.42255266827118176
2023-09-30,0,0.33804213461694543
2023-10-01,0,0.27043370769355635
2023-10-02,1,0.4163469661548451
2023-10-03,0,0.33307757292387613
2023-10-04,1,0.4664620583391009
2023-10-05,1,0.5731696466712808
2023-10-06,0,0.45853571733702464
2023-10-07,1,0.5668285738696197
2023-10-08,1,0.6534628590956958
2023-10-09,0,0.5227702872765566
2023-10-10,1,0.6182162298212452
2023-10-11,0,0.4945729838569962
2023-10-12,0,0.395658387085597
2023-10-13,0,0.3165267096684776
2023-10-14,0,0.2532213677347821
2023-10-15,-1,0.0025770941878256737
2023-10-16,0,0.002061675350260539
2023-10-17,-1,-0.19835065971979157
2023-10-18,0,-0.15868052777583327
2023-10-19,0,-0.12694442222066663
2023-10-20,0,-0.10155553777653331
2023-10-21,0,-0.08124443022122665
2023-10-22,0,-0.06499554417698132
2023-10-23,0,-0.05199643534158506
2023-10-24,0,-0.04159714827326805
2023-10-25,0,-0.03327771861861444
2023-10-26,-1,-0.22662217489489156
2023-10-27,-1,-0.38129773991591326
2023-10-28,-1,-0.5050381919327307
